slno,key,question,answer
20,java,20What is Object Cloning?,An ability to recreate an object entirely similar to an existing object is known as Object Cloning in Java Java provides a clone() method to clone a current object offering the same functionality as the original object.
21,python,21What is Scope in Python?,A local scope refers to the local objects available in the current function A global scope refers to the objects available throughout the code execution since their inception A module level scope refers to the global objects of the current module accessible in the program An outermost scope refers to all the built in names callable in the program The objects in this scope are searched last to find the name referenced.
22,python,22What is the use of self in Python?,Self is used to represent the instance of the class With this keyword you can access the attributes and methods of the class in python It binds the attributes with the given arguments self is used in different places and often thought to be a keyword But unlike in C++ self is not a keyword in Python.
23,python,23What is break?,The break statement terminates the loop immediately and the control flows to the statement after the body of the loop.
24,python,24What is continue?,The continue statement terminates the current iteration of the statement skips the rest of the code in the current iteration and the control flows to the next iteration of the loop.
25,python,25What is pass?,the pass keyword in Python is generally used to fill up empty blocks and is similar to an empty statement represented by a semicolon in languages such as Java C++ Javascript etc.
26,NLP,26What are some of the ways in which data augmentation can be done in NLP projects?,Replacing entities TFIDF based word replacement Adding noise to data Back translation Synonym replacement Bigram flipping.
27,NLP,27What is meant by data augmentation?,NLP has some methods through which we can take a small dataset and use that in order to create more data This is called data augmentation In this we use language properties to create text that is syntactically similar to the source text data.
28,NLP,28What do you mean by TFIDF in Natural language Processing?,TFIDF also called Term Frequency Inverse Document Frequency helps us get the importance of a particular word relative to other words in the corpus Its a common scoring metric in information retrieval IR and summarization TFIDF converts words into vectors and adds semantic information resulting in weighted unusual words that may be utilised in a variety of NLP applications.
29,NLP,29What is the meaning of Pragmatic Analysis in NLP?,Pragmatic Analysis is concerned with outside word knowledge  which refers to information that is not contained in the documents and or questions The many parts of the language that require real world knowledge are derived from a pragmatics analysis that focuses on what was described and reinterpreted by what it truly meant.
30,NLP,30What is the meaning of N-gram in NLP?,Text N grams are commonly used in text mining and natural language processing They are essentially a collection of co occurring words within a specific frame and when computing the n grams you usually advance one word although you can move X words forward in more advanced scenarios.
31,c,31Primary datatypes in C?,int float void char double
32,c,32What are built-in functions in C?,abort abs atoi calloc malloc ceil fclose fgetc gets isdigit
33,c,33Derived datatypes in C?,array function pointer union structure
34,c,34C tokens?,keywords constants special symbols strings operators identifiers 
35,c,35Types of Storage Classes in C?,automatic external static register
